Subject ,Standard ,SKILL/TOPIC,Learning Objective,Competencies Learners should be able to:,Grade_Level
PE,Physical Education,MUSCULAR STRENGTH AND ENDURANCE (free-standing exercise),Learners will experience a wide range of Physical Education activities,Leg:Sparrow hopping: with elbows bent and hands flapping at shoulders  free hopping with stiff knees,One
PE,Physical Education,MUSCULAR STRENGTH AND ENDURANCE (free-standing exercise),Learners will experience a wide range of Physical Education activities,Abdomen:The drummer: in crook sitting lean on hands  drum heels alternately on floor,One
PE,Physical Education,MUSCULAR STRENGTH AND ENDURANCE (free-standing exercise),Learners will experience a wide range of Physical Education activities,Back:Chopping wood: in scissors position  stand with arms upward  trunk swinging downwards and stretching up in chopping action,One
PE,Physical Education,MUSCULAR STRENGTH AND ENDURANCE (free-standing exercise),Learners will experience a wide range of Physical Education activities,Shoulder and arms:Rabbit hopping: from crouch withhands next to ears  free hopping to land each time first on hands and then on feet,One
PE,Physical Education,FLEXIBILITY ACTIVITIES,Learners will demonstrate flexibility through a variety of activities,demonstrate imitative activities to obtain flexibility in the following joints  e.g.- Ankle:Dinosaurs walking. On all fours walk forward flat-footed and stiff- legged. Walk forward saying “hand  hand  foot  foot”. Move only hand when saying “hand” etc,One
PE,Physical Education,FLEXIBILITY ACTIVITIES,Learners will demonstrate flexibility through a variety of activities,Knee:Bear walking. On all fours  walkforward with straight arms and legs  moving arm and leg on same side with each step.,One
PE,Physical Education,FLEXIBILITY ACTIVITIES,Learners will demonstrate flexibility through a variety of activities,Hip:Eating candy. Standing  pretend to hold a piece of candy tightly between knees. Bend forward and nibble on candy.,One
PE,Physical Education,FLEXIBILITY ACTIVITIES,Learners will demonstrate flexibility through a variety of activities,Shoulder:Climbing a ladder. Standing pretend to climb a rope ladder  using only the arms.,One
PE,Physical Education,FLEXIBILITY ACTIVITIES,Learners will demonstrate flexibility through a variety of activities,Spinal column:Trees. Standing  pretend to be a tall tree and stretch branches (arms) high over the head. A strong wind makes the tree bend sideways  etc.,One
PE,Physical Education,FLEXIBLITY ACTIVITIES,Learners will demonstrate flexibility with small apparatus (shoes  bags  balls  sticks  hoops),demonstrate flexibility exercises with bean bags or shoes in the following joints  e.g.- Ankle:With toes of right foot  pick up bean bag and make circular movements with foot. Pass bag to left foot and repeat action,One
PE,Physical Education,FLEXIBLITY ACTIVITIES,Learners will demonstrate flexibility with small apparatus (shoes  bags  balls  sticks  hoops),Knee:Straddle long-sitting with bag in both hands. Bend forward and place bag behind left foot. Come upright again  bend forward and pick up bag. Repeat with right,One
PE,Physical Education,FLEXIBLITY ACTIVITIES,Learners will demonstrate flexibility with small apparatus (shoes  bags  balls  sticks  hoops),Hip:Stretch-kneel  grasping bean bag above head. With bean bag in one hand bend trunk forward-downward to stoop kneel-sitting  changing bean bag to opposite hand behind back etc.,One
PE,Physical Education,FLEXIBLITY ACTIVITIES,Learners will demonstrate flexibility with small apparatus (shoes  bags  balls  sticks  hoops),Shoulder:Scissors-standing  grasp bean bag in one hand. Windmill  arm circling backward. Change arms and legs.,One
PE,Physical Education,FLEXIBLITY ACTIVITIES,Learners will demonstrate flexibility with small apparatus (shoes  bags  balls  sticks  hoops),Spinal column:Straddle-standing arms upward  grasping bean bag in both hands. Trunk leaning backward  drop bean bag on to the floor  followed by trunk bending forward-downwards to grasp bag between legs  etc.,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will move from one place to another using a variety of ways,move in a variety of ways using various body parts  e.g.- Feet:walk on heels  toes and sides of feetwalk while holding arms in different positions/moving arms in different wayswalk with straight legs  with knees bent  etc.,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will move from one place to another using a variety of ways,Hands and feet (front towards the ground):free running on all fours like a dog,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will move from one place to another using a variety of ways,cripple dog: free running on all fours  holding one hand off the floor. lame dog: free running on all fours  holding one foot off the floor,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will move from one place to another using a variety of ways,Caterpillar walking. From front- lying support take short steps towards hands  keeping legs straight  then move hands forward to starting position,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will move from one place to another using a variety of ways,Hands and feet (back towardsground):- Beetle-crawling. In crook back-lying support  run forwards or backwards on all fours,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will move from one place to another using a variety of ways,Trailer. In back-lying support  drag legs about floor using arms only.,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will move from one place to another using a variety of ways,Hands and feet (side towardsground):- Crab-running. On all fours walksideways to both sides.,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will move from one place to another using a variety of ways,Clock-hand: in side-lying support walk with feet around supporting the hand.,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will move from one place to another using a variety of ways,Hands and knees:Hedgehog crawling up. In front kneeling  the hedgehog runs a few paces  then suddenly curls up as small as possible,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will move from one place to another using a variety of ways,Seat and feetCaterpillar. In long-sitting/crook- sitting position move forward like a caterpillarmove in a variety of ways using big and small movementsrepeat the abovementioned movements but emphasise big and small movements  e.g.walk on toes like a big tree or a small tree     ,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will move from one place to another using a variety of ways,move in a variety of ways changing direction  tempo and level by emphasing change of direction forward  backward and sideways e.g.beetle crawling in different directions,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will move from one place to another using a variety of ways,Tempo (fast and slow)  e.g. cripple dog running fast and slow,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will move from one place to another using a variety of ways,Levels (high and low)  e.g.walk with arms in different positions as high or as low as possible,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will move from one place to another using a variety of ways,Clock-hand: in side-lying support walk with feet around supporting the hand.,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will move from one place to another using a variety of ways,Hands and knees:Hedgehog crawling up. In front kneeling  the hedgehog runs a few paces  then suddenly curls up as small as possible,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will move from one place to another using a variety of ways,Seat and feetCaterpillar. In long-sitting/crook- sitting position move forward like a caterpillarmove in a variety of ways using big and small movementsrepeat the abovementioned movements but emphasise big and small movements  e.g.walk on toes like a big tree or a small tree,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will move from one place to another using a variety of ways,move in a variety of ways changing direction  tempo and level by emphasing change of direction forward  backward and sideways e.g.beetle crawling in different directions,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will move from one place to another using a variety of ways,Tempo (fast and slow)  e.g. cripple dog running fast and slow,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will move from one place to another using a variety of ways,Levels (high and low)  e.g.walk with arms in different positions as high or as low as possible,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will perform a variety of rotational movements around the longitudinal axis,make a variety of rotational movements around the longitudinal axis  varying  e.g.Standingon toe/heel of one foot – spin round like a top,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will perform a variety of rotational movements around the longitudinal axis,Crouchwith weight on toes of one foot  spin around like a top,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will perform a variety of rotational movements around the longitudinal axis,Crook-sittingwith weight on seat  spin around like a top,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will perform a variety of rotational movements around the longitudinal axis,Front-kneelingwith weight on one knee  spin around like a top,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will perform a variety of rotational movements around the longitudinal axis,Back-lyingwith arms extended above head  roll over to front-lying  etc. like a tree log,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will perform a variety of longitudinal movements around the sagittal axis (forward-backward axis),rotate around the sagittal axis while using various body parts for support  e.g.Hands  feet and kneesFrom front-kneeling roll sideways on back/shoulders and back to front-kneeling like a pig rolling in mud,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will perform a variety of longitudinal movements around the sagittal axis (forward-backward axis),HandsBunny jump sideways from crouching position,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will perform a variety of rotational movements around the frontal axis (directed at the front), rotate the body mass to and fro (“rocking”) using various body parts for support  e.g.Seat/back/shouldersfrom crook-sitting  arms around knees  rock/roll backward to shoulders and back to crook-sitting,One
PE,Physical Education,LOCOMOTOR MOVEMENT,Learners will perform a variety of rotational movements around the frontal axis (directed at the front),Chest/abdomen/thighFrom front-lying  arms  above head  rock to and fro from chest to thighs  etc.,One
PE,Physical Education,JUMPING ON THE SPOT IN VARIOUS WAYS,Learners will jump and land with a bounce in knees,jump and perform a shallow landing  e.g.jumping like a bouncing ball,One
PE,Physical Education,JUMPING ON THE SPOT IN VARIOUS WAYS,Learners will jump and land with a bounce in knees,jump on the spot varying positions of limbs while in the air  e.g.hold your arms in the air while jumpinghold one leg while jumping make a star while jumping,One
PE,Physical Education,JUMPING ON THE SPOT IN VARIOUS WAYS,Learners will jump and land with a bounce in knees,move using the five basic jumps  e.g.from two feet to two feet from one foot to two feet from two feet to one footfrom one foot to the same footfrom one foot to the other foot,One
PE,Physical Education,BALANCING,Learners will balance in different ways on the spot,balance on the spot while using various body parts for support  e.g.Feet standingtoe-standingstraddle-standingscissors-standingforward lunge standing on one legstraddle-standing  trunk forward front balance standing,One
PE,Physical Education,BALANCING,Learners will balance in different ways on the spot,Knees kneelingsupport kneeling forwardHands and knees/feet all foursfront-kneelingcrab-standingcrook back-lying supportside-lying support,One
PE,Physical Education,BALANCING,Learners will balance in different ways on the spot,SeatBalance-sittingNapeNape-standing Head-standingTrunkFront-lying Back-lying Side-lying,One
PE,Physical Education,BALANCING,Learners will balance in different ways on the spot,Hands and head Crouch-balance with head on groundHand-standing Kicking like a donkey,One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will perform a variety of push and pull activities with a partner,pull and push a partner using various parts of the body and from different starting positions  e.g. PullOne arm tug-o-war. Opponents face each other  grasp opposite hand of partner. Try to pull opponent off balance,One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will perform a variety of push and pull activities with a partner,Two hands tug-o-war Opponents face each other  grasp both hands of partner. Try to pull opponent off balanceNB: Whenever partner activities are done it is very important that the partners working together should be of equal size and weight,One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will perform a variety of push and pull activities with a partner,PushOne shoulder pushing. Opponents  facing different directions  stand next to each other with right shoulders touching. On signal try to push partner backwards,One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will perform a variety of push and pull activities with a partner,Shoulder pushing. Scissors standing  opponents facing with hands on each other’s shoulders. On signal try to push him backwards,One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will perform follow and dodge partner activities,Play games where a partner is followed/dodged  e.g.Catch your partner’s tailOne partner inserts a coloured band at the back of his shorts to represent a tail. At a given signal his partner chases him and attempts to remove the tail,One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will perform follow and dodge partner activities,If the chaser succeeds  he inserts the coloured band under the waistband of his own shorts. His partner should allow him sufficient time to get away  before starting the chase.  ,One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will work with a partner using different imitative activities,,One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will move between  around  over  into  onto  underneath and through small apparatus,Move between  around  over and onto small apparatus such as bean bags  shoes  tins  stones  coloured bands  stockings or strips of material in various ways  e.g.,One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will move between  around  over  into  onto  underneath and through small apparatus,Set up small apparatus in an informal pattern on the area and move between  around  over and onto them in various ways:- on various parts of the body- forward  backward and sideways- fast and slow- high and low- with turns and rolls,One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will perform balancing and movement activities while holding small apparatus (bean bags  shoes  tins  stones  coloured bands  stockings),balance positions on or over bean bags  shoes  tins  stones  coloured bands  stockings or strips of material in various ways  e.g.,One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will perform balancing and movement activities while holding small apparatus (bean bags  shoes  tins  stones  coloured bands  stockings),balance bean bag  shoe or stone on different parts of the body or hold the bean bag  shoe  stone  coloured band or strip of material in position with different parts of the body while performing various movementsFree walking with bean bag/shoe on head without dropping it,One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will perform balancing and movement activities while holding small apparatus (bean bags  shoes  tins  stones  coloured bands  stockings),Crouch  clasping bean bag/ coloured band between feet:Rabbit hoppingFrog jumping,One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will perform balancing and movement activities while holding small apparatus (bean bags  shoes  tins  stones  coloured bands  stockings),Crook back-lying support with apparatus on midriff – beetle crawling forward or backward,One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will perform balancing and movement activities while holding small apparatus (bean bags  shoes  tins  stones  coloured bands  stockings),Grip bean bag/coloured band with toes of one foot. Hop along on other leg,One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will jump over an object hand-held by themselves (bean bags  shoes  tins  stones  coloured  bands  stockings),skip with a rope while handling the rope himself  e.g.Stand  holding rope in correct way with rope behind heels. Swing rope over head to a position in front of feet. Step over. Repeat action and increase speed gradually,One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will jump over an object hand-held by themselves (bean bags  shoes  tins  stones  coloured  bands  stockings),Horizontal skipping. Grasp rope in one hand. Circle rope in a horizontal plane at knee height. Skip over.,One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will jump over an object hand-held by themselves (bean bags  shoes  tins  stones  coloured  bands  stockings),experiment with different ways of skipping while swinging the rope over head  e.g.Skipping on spot with one leg in front (walking over rope). Change legs,One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will jump over an object hand-held by themselves (bean bags  shoes  tins  stones  coloured  bands  stockings),Skipping on the spot with legs together with or without rebound,One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will jump over an object hand-held by themselves (bean bags  shoes  tins  stones  coloured  bands  stockings),Skipping on alternate legs with knees raised high (running action on spot),One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will perform running activities/games with the emphasis on endurance,demonstrate endurance by playing the following games  e.g.Stay with the ball:While a ball is rolled between two lines the pupils must try and keep up with the ball,One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will perform running activities/games with the emphasis on endurance,Filling the basket:Use a waste paper basket and fill it with bean bags. The teacher scatters the bags around and pupils must collect them and fill up the basket,One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will perform running activities/games with the emphasis on endurance,Trails:Place a coloured band around each learner's waist and then run after the leader with the same colour,One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will perform running activities/games with the emphasis on endurance,Running train:Running on the spot with fast arm and leg action,One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will perform running activities/games with the emphasis on endurance,Follow the leader:The pupils follow a leader who runs around. The leader changes his speed while the followers try to keep up.,One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will perform running activities/games with the emphasis on endurance,"Letter/single number-play:""Write"" (running) imaginary numbers/letters on the practice area. Teacher/group leader calls out a number/letter and learners run to form it",One
PE,Physical Education,ACTIVITIES WITH A PARTNER,Learners will perform running activities/games with the emphasis on endurance,Robot gamePupils follow colour held up (bean bag  flag  etc.) or shouted by the teacher. On red pupils will be stationary  on orange they will jog and on green they will jump. Do not exceed distances of 400 metres without giving a short recovery time.,One
PE,Physical Education,JUMPING ACTIVITIES,Learners will perform jumping activities with the emphasis on jumping for distance,demonstrate jumping skills for distance  e.g.Jumping into hoop:Run in between hoops which are scattered about on the ground. On signal pupils jump into a hoop. Each time one hoop is removed. See who can be kept out the most,One
PE,Physical Education,JUMPING ACTIVITIES,Learners will perform jumping activities with the emphasis on jumping for distance,Fill the corners:Execute various types of jumps (rabbit  frog  one-legged  two-legged jumps  etc.) from the corners of the playing area towards the centre where they receive an object. They run back to their respective corners with these and repeat the action. See which group can collect the most objects,One
PE,Physical Education,JUMPING ACTIVITIES,Learners will perform jumping activities with the emphasis on jumping for height,demonstrate jumping skills for height  e.g.Jumping over objectsJump in different ways over various objects  e.g. shoes  bean bags  etc. scattered around the practice area,One
PE,Physical Education,JUMPING ACTIVITIES,Learners will perform jumping activities with the emphasis on jumping for height,Jumping over the elastic band/rope Two pupils hold the elastic/rope while the others jump to and fro  sideways  with or without rebound  on two feet,One
PE,Physical Education,JUMPING ACTIVITIES,Learners will perform jumping activities with the emphasis on jumping for height,Bouncing ballContinuous jumping on the place with feet together,One
PE,Physical Education,THROWING ACTIVITIES,Learners will perform throwing activities/games with the emphasis on throwing for distance,demonstrate throwing skills for distance  e.g.Throw and retrieveThrow an object  e.g. stone  bean bag  etc. underhand or overhand as far as possible. Run and retrieve the object,One
PE,Physical Education,THROWING ACTIVITIES,Learners will perform throwing activities/games with the emphasis on throwing for distance,High ballThrow an object as high as possible into the air and catch it on return,One
PE,Physical Education,COMPETITION,Learners will perform individual  partner and group competitions,demonstrate competitiveness as an individual  e.g.Run around a marker at a set distance away and back. See who is firstSee who can throw (overhand or underhand) the object the furthest. Retrieve and repeat,One
PE,Physical Education,COMPETITION,Learners will perform individual  partner and group competitions,Hoop jumps: Place hoops ± one step apart in a row. Let pupils jump from one hoop to the next. Move hoops further apart. RepeatSee who can jump into the most hoops at the various intervals. Throw an object into the air and see who can cleanly catch it the most times on the return,One
PE,Physical Education,COMPETITION,Learners will apply a wide range of behavioural rules of sport,demonstrate how to look after clothing and apparatus  use correct terminology and obey commands  e.g.changing into practice clothes hanging up of clothingfolding up of clothingstoring of personal items washing of hands etc. after play obeying commands,One
PE,Physical Education,COMPETITION,Learners will apply a wide range of behavioural rules of sport,sit  stand  lie down  turn about  jump (basic terminology)caring for  storing and transportation of apparatussmall apparatus to be placed in containers (boxes  etc.),One
PE,Physical Education,COMPETITION,Learners will apply a wide range of behavioural rules of sport,apparatus not to b dragged over groundwhen playing on apparatus shoes and socks to be taken off,One
PE,Physical Education,COMPETITION,Learners will roll and stop field objects without an implement,use variety of objects to demonstrate roll and stop skills  e.g.balls  balls of rolled up paper  bean bags  old socks tied in a bundle  seeds/fruits of various trees or plants  tins  hoops  etc.,One
PE,Physical Education,COMPETITION,Learners will roll and stop field objects without an implement,objects of various sizes and shapes should be used where possible left and right arms and legs should be exercised,One
PE,Physical Education,COMPETITION,Learners will roll and stop field objects without an implement,oll and stop/field activities:roll ball with different parts of the body  e.g. hand  nose  forehead  elbowroll ball with right and left handroll ball in different directions  e.g. forward  backward and sideways,One
PE,Physical Education,COMPETITION,Learners will dribble and stop objects (bean bags  balls) without an implement,dribble an object  e.g. bean bag or ball with right hand to a certain point. Dribble object back to starting point with left handdribble object with left and right hands alternately,One
PE,Physical Education,COMPETITION,Learners will dribble and stop objects (bean bags  balls) without an implement,dribble an object  e.g. bean bag or ball wit right foot to a certain point. Dribble object back to starting point with left footdribble object with left and right foot alternately,One
PE,Physical Education,COMPETITION,Learners will dribble and stop objects (bean bags  balls) without an implement,kick the ball with different parts of the foot  e.g. inside  toe  outside  etc.Kick the ball to a partner who fields it  picks it up and rolls it back.,One
PE,Physical Education,COMPETITION,Learners will throw objects (bean bags  balls) and catch them correctly,throw objects into the air and catch with both hands upon descent  e.g.Throw object as far as possible and collect it,One
PE,Physical Education,COMPETITION,Learners will throw objects (bean bags  balls) and catch them correctly,Throw object in a variety of ways  e.g. over arm  underhand  both hands  right/left handThrow object to a partner who catches it and throws it back,One
PE,Physical Education,COMPETITION,Learners will bounce a ball with different parts of the body,ounce a big ball on the spot and catch it with both handsrepeat ths activity with a small ballbounce a ball continuously on thespot:- with both hands- with right hand- with left hand- with right and left hand alternatelybounce the ball to a partner in a variety of ways,One
PE,Physical Education,COMPETITION,Learners will bounce a ball with different parts of the body,bounce the ball while reciting a rhyme for example“Ibounce the ball on the ground bump  bump  bumplisten to the bumping sound bump  bump  bump”,One
PE,Physical Education,COMPETITION,Learners will bounce a ball with different parts of the body,hit/strike an object  e.g.bean bag  self-made ball  etc. in the air with one hand and catch it again.hit/strike an object continuously inthe air with:- both hands- right hand/left handright and left hand alternately (palms or fists can be used),One
PE,Physical Education,COMPETITION,Learners will bounce a ball with different parts of the body,the following objects can be used: bean bag  self-made balls  small block of wood  balls  etc.the following implements can be used: stick  plank  club  rolled-up magazine  bat  etc.,One
PE,Physical Education,COMPETITION,Learners will participate in a variety of small games,play games where the emphasis is on the individual (“I” games) and games where a partner is followed or dodged  e.g.Catch the ball in the clock:No. 1 has the ball in the centre of a circle (±6 pupils in a group). He bounces the ball  or throws it into the air and no. 2 has to run in and catch the ball. Repeat.When they are more advanced  they may call out the number of the one who has to catch the ball.Widen the circle (clock),One
PE,Physical Education,COMPETITION,Learners will participate in a variety of small games,"Roll the ball out of the circle Pupils stand with feet astride in a circle with feet touching.Two pupils in the centre tryto roll a ball through the legs of those on the outside. Those on the outside try to stop the balls.Change places so that all have a turn to roll a ball out of the circleKeep the ball away – it is ""dangerous""Pupils stand in a circle and one pupil starts the game by kicking the ball away from him.The ball must be kept on the ground. Thus the pupils must push the ball away with the inside or outside of their feet. It must be done quickly because the ball is ""dangerous"".Add more ""dangerous"" balls. (The size of the ball can be varied as well)",One
PE,Physical Education,COMPETITION,Learners will participate in a variety of small games,"The dog catches the catLearners (± 8 in a group) stand in a circle and pass a bean bag around (the cat).When the ""cat"" is about two paces away  the dog (a ball) is brought in to try and catch the catDecide how near to each other the pupils must stand and how soon the dog must be added.",One
PE,Physical Education,IMITATION,Learners will perform a variety of imitational games/activities,demonstrate imitative games/ activities of animal origin  e.g.Galloping horses:Free running with leading knee raised high  using a vigorous arm action,One
PE,Physical Education,IMITATION,Learners will perform a variety of imitational games/activities,Frog jumpingFrom crouch with hands on floor between legs  free jump to land first on feet and then on hands,One
PE,Physical Education,IMITATION,Learners will perform a variety of imitational games/activities,Flying birds:Free running with flapping arms or elbows,One
PE,Physical Education,LARGE GROUP ACTIVITIES/ GAMES,Learners will perform in large group activities,"Frog in the sea:The players  skipping around the ""frog"" crouching in the middle chant: ""Frog in the sea  can't catch me!"" Suddenly the frog jumps up and chases them to their ""homes""  tagging as many as possible",One
PE,Physical Education,LARGE GROUP ACTIVITIES/ GAMES,Learners will perform in large group activities,"Magic carpetsDraw several squares representing magic carpets or have small mats or hoops spread out on the ground. The players skip  with or without music  behind the leader. On a signal  they stop  and those not on the ""magic carpets"" are given a band to put on. Those who have no bands by the end of the game are the winners",One
PE,Physical Education,LARGE GROUP ACTIVITIES/ GAMES,Learners will perform in large group activities,SnakesSelect two to three players to be snakes  e.g. mamba  cobra  puff- adder. Let them chase and tag the rest of the class. Those who are tagged should be taken by the snake to his house and remember which snake bit them. Calculate the different snakes' bites,One
PE,Physical Education,LARGE GROUP ACTIVITIES/ GAMES,Learners will perform in large group activities,Farmers and rabbits:The players imitate rabbits  doing bunny-jumps about the playground. The farmer comes with a few dogs who run on all fours. These chase the rabbits. Those caught become dogs. Marked spaces may represent burrows where the rabbits are safe from the dogs,One
PE,Physical Education,LARGE GROUP ACTIVITIES/ GAMES,Learners will perform a variety of traditional games, choose own traditional games  e.g.- Hopscotch- London Bridge is Falling Down- Cat and mouse,One
PE,Physical Education,LARGE GROUP ACTIVITIES/ GAMES,Learners will perform a variety of traditional games,Amangus:Players are divided into 2 teams. One team are the runners  the other team are field workers. Two players of the field workers stand at the opposite side of the ground  and throw the ball to each other and back while the runners run from line A to B. The other players help to collect the ball. If the ball touches a runner  he/she is out of the game.,One
Environmental Studies,Environmental Studies,Families and communities,Learners will understand the importance of being part of families and communities,Describe good familyrelationships  e.g.draw family members  role-play good family relationships; discuss what makes a good family lifeidentify their rights and responsibilities  e.g. their rights to be loved and educated  their responsibilities to attend school and learn to the best of their abilitydiscuss the rights and responsibility of their family members,One
Environmental Studies,Environmental Studies,Families and communities,Learners will understand the importance of being part of families and communities,state relevant informationabout school  e.g.name their school  principal  class teacher and class mates,One
Environmental Studies,Environmental Studies,Families and communities,Learners will understand the importance of being part of families and communities,name health care providers in the home and community and explain their roles  e.g.identify who provides health care in the family  e.g. mom  dad  sister  nannydescribe the care  e.g. take temperature  give medicine etc identify who provide health care in the community  e.g. doctors/ nurses clinics  hospitalsrole-play visits to health institutions,One
Environmental Studies,Environmental Studies,Family culture  national culture  and historical events and people,Learners will understand how family culture  national culture and historical events and people influence Namibians,describe own family customs and ceremonies  e.g.- discuss customs and ceremonies in which the family participates- discuss what to wear (dress code) to special ceremonies- ask invited guests (e.g. parents) about different dress attires,One
Environmental Studies,Environmental Studies,Family culture  national culture  and historical events and people,Learners will understand how family culture  national culture and historical events and people influence Namibians,describe the design and colours of the Namibian flag  e.g.draw and colour the flag and discuss where it is flown in the local communitydiscuss the colours and symbolsparticipate in occasions where the flag is hoisted,One
Environmental Studies,Environmental Studies,Family culture  national culture  and historical events and people,Learners will understand how family culture  national culture and historical events and people influence Namibians,explain why Independence Day is an important day in Namibia’s history  e.g.discuss why this day is an important day in Namibia’s history and how we celebrate it sing the national anthem with others  showing correct behaviour and pronunciation of words. discuss when and why it is sung,One
Environmental Studies,Environmental Studies,Family culture  national culture  and historical events and people,Learners will understand how family culture  national culture and historical events and people influence Namibians,identify the name of the president  e.g.- describe/role-play what it mustbe like to be President and lead our country,One
Environmental Studies,Environmental Studies,Infrastructure and means of communication,Learners will identify different infrastructure and means of communication within the community and region,describe their house and furniture  e.g.- discuss what houses look like; building materials used; draw their houses- identify similarities and differences between various houses- discuss different rooms in the house,One
Environmental Studies,Environmental Studies,Infrastructure and means of communication,Learners will identify different infrastructure and means of communication within the community and region,describe their family’s meansof transport  e.g.discuss and draw own means of transport to and from school discuss and draw all types of transport seen in the local environm,One
Environmental Studies,Environmental Studies,Infrastructure and means of communication,Learners will identify different infrastructure and means of communication within the community and region,describe their family’s meansof communication  e.g.discuss various means of spreading news and of communication  e.g. cell phone  telephone  radio  television and newspaper (local media) practise and demonstrate the correct use of the telephone and cell phone,One
Environmental Studies,Environmental Studies,Trading   earning  spending and saving,Learners will understand the importance of trading  and earning  spending and saving money,describe the occupations of their family members and explain why a family needs money and savings  e.g.make a class list of occupations of family members (including housekeepers  gardeners  etc) discuss the purpose of earning money for the family,One
Environmental Studies,Environmental Studies,Trading   earning  spending and saving,Learners will understand the importance of trading  and earning  spending and saving money,participate in trading and buying and selling activities  e.g.- describe items that could be exchanged to earn money  (e.g. bottles  metal) and things they can make to sell- practise buying through role- play  e.g. playing ‘shops’ using real/plastic money or stones/counters etc- identify that we save money to buy the things we need and want- practise saving  e.g. save money/stones/bottle tops in a jar,One
Environmental Studies,Environmental Studies,A healthy and safe lifestyle,Learners will understand the importance of a healthy and safe lifestyle,explain why personal hygiene  exercise and rest are important  e.g.- discuss the importance of regular exercise and rest/sleep for good health- discuss and practise daily routines to keep hair  skin  nails  ears  nose  eyes  hands  teeth and feet clean- discuss the need to wash hands before and after tending to simple skin wounds- practise tending to wounds- discuss how and where to get help if unsure or if the wound is serious,One
Environmental Studies,Environmental Studies,A healthy and safe lifestyle,Learners will understand the importance of a healthy and safe lifestyle,describe what contact is safe with people with HIV and AIDS and what must be avoided  e.g.- discuss fear of contact and how to overcome it; the importance of caring and safe physical contact,One
Environmental Studies,Environmental Studies,Parts of the body  changes and emotions  and senses,Learners will identify parts of the body  changes in the body  emotions and senses,distinguish between parts of thebody and their functions  e.g. name and describe the different body parts and activities the body can perform  e.g. walk  sit  stretch  balance  etc,One
Environmental Studies,Environmental Studies,Parts of the body  changes and emotions  and senses,Learners will identify parts of the body  changes in the body  emotions and senses,identify and name the five senseorgans and their functions  e.g. discuss the five senses and match each organ with its function identify different foods by taste  touch and smell while blindfolded,One
